hitid	taskid	workerid	module	varname	response
5	0	Mm	intro	intro	I have read and understood the task instructions and examples.
5	1	Mm	screen0	screen_valid0	0
5	1	Mm	screen0	screen_label0	1
5	2	Mm	screen1	screen_valid1	0
5	2	Mm	screen1	screen_label1	0
5	3	Mm	screen2	screen_valid2	1
5	3	Mm	screen2	screen_label2	
5	4	Mm	screen3	screen_valid3	1
5	4	Mm	screen3	screen_label3	
5	5	Mm	screen4	screen_valid4	1
5	5	Mm	screen4	screen_label4	
5	56	Mm	pass_screen	pass_screen	I have checked and understood the practice labels.
5	8	Mm	label	valid	Yes
5	8	Mm	label	label	
5	10	Mm	label	valid	No
5	10	Mm	label	label	Personal
5	11	Mm	label	valid	Yes
5	11	Mm	label	label	
5	13	Mm	label	valid	Yes
5	13	Mm	label	label	
5	15	Mm	label	valid	Yes
5	15	Mm	label	label	
5	16	Mm	label	valid	Yes
5	16	Mm	label	label	
5	17	Mm	label	valid	Yes
5	17	Mm	label	label	
5	18	Mm	label	valid	No
5	18	Mm	label	label	Junk
5	19	Mm	label	valid	Yes
5	19	Mm	label	label	
5	25	Mm	label	valid	Yes
5	25	Mm	label	label	
5	26	Mm	label	valid	No
5	26	Mm	label	label	Multimedia News
5	27	Mm	label	valid	No
5	27	Mm	label	label	Personal
5	28	Mm	label	valid	Yes
5	28	Mm	label	label	
5	33	Mm	label	valid	Yes
5	33	Mm	label	label	
5	34	Mm	label	valid	Yes
5	34	Mm	label	label	
5	36	Mm	label	valid	Yes
5	36	Mm	label	label	
5	40	Mm	label	valid	Yes
5	40	Mm	label	label	
5	41	Mm	label	valid	Yes
5	41	Mm	label	label	
5	43	Mm	label	valid	Yes
5	43	Mm	label	label	
5	44	Mm	label	valid	Yes
5	44	Mm	label	label	
5	47	Mm	label	valid	Yes
5	47	Mm	label	label	
5	50	Mm	label	valid	Yes
5	50	Mm	label	label	
5	52	Mm	label	valid	Yes
5	52	Mm	label	label	
5	53	Mm	label	valid	No
5	53	Mm	label	label	Junk
5	55	Mm	label	valid	Yes
5	55	Mm	label	label	
0	0	Test1	intro	intro	I have read and understood the task instructions and examples.
0	1	Test1	screen0	screen_valid0	0
0	1	Test1	screen0	screen_label0	1
0	2	Test1	screen1	screen_valid1	0
0	2	Test1	screen1	screen_label1	0
0	3	Test1	screen2	screen_valid2	0
0	3	Test1	screen2	screen_label2	1
0	4	Test1	screen3	screen_valid3	1
0	4	Test1	screen3	screen_label3	
0	5	Test1	screen4	screen_valid4	0
0	5	Test1	screen4	screen_label4	1
0	56	Test1	pass_screen	pass_screen	I have checked and understood the practice labels.
0	7	Test1	label	valid	No
0	7	Test1	label	label	Advertisement
0	8	Test1	label	valid	No
0	8	Test1	label	label	Other
0	10	Test1	label	valid	No
0	10	Test1	label	label	Personal
0	11	Test1	label	valid	Yes
0	11	Test1	label	label	
0	12	Test1	label	valid	No
